code,tipo,marca,modelo,variante,motor,originalpw,modifiedpw,gainpw,maxgainpw,maxgainrpm,originaltorque,modtorque,obd,stg1,acc,ron,vmx,cat,egr,dpf,imm,swr,ms,cat,pricestg1,pricestg2,dtcdecategronly,pricecombo,dpfonly,dpfcombo,dealerpricestg1,dealerpricestg2,dealerdtcdecategronly,dealerpricecombo,dealerdpfonly,dealerdfpcombo,kess,ktag,web
132,AUTO / UTIL,AUDI,A3 8V,,1.8T GEN3,170,230,70,68,5400,323,424,1,1,1,1,1,1,0,0,0,0,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,469,x,https://dataracing.com.ar/cars/audi-a3-8v-1-8t-gen-3-170-hp/
110,AUTO / UTIL,AUDI,S3 8L,,1.8T,210,250,40,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,38,48,
110,AUTO / UTIL,AUDI,S3 8L,,1.8T,210,250,40,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,38,48,
115,AUTO / UTIL,AUDI,S3 8P,,2.0TFSI,265,310,45,51,5400,358,420,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,93,64,https://dataracing.com.ar/cars/audi-s3-8p-2-0tfsi-265-hp/
136,AUTO / UTIL,AUDI,S3 8V,,20TSI MQB,300,370,70,98,5000,380,490,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,473,830,https://dataracing.com.ar/cars/audi-s3-8v-2-0tsi-mqb-300-hp/
101,AUTO / UTIL,AUDI,A4 B5,,1.8T,150,188,40,57,3900,210,305,1,1,1,1,1,1,0,0,1,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,x,x,https://dataracing.com.ar/cars/vw-golf-4-1-8t-150-hp/
102,AUTO / UTIL,AUDI,A4 B6,,1.8T,180,215,35,56,4600,235,335,1,1,1,1,1,1,0,0,1,0,1,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,39,53,https://dataracing.com.ar/cars/vw-bora-1-8t-180-hp/
111,AUTO / UTIL,AUDI,A4 B8,,1.8TFSI,163,218,47,64,4200,256,365,1,1,1,1,1,1,0,0,1,1,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,39,53,https://dataracing.com.ar/cars/audi-tt-mk2-1-8tfsi-163-hp/
112,AUTO / UTIL,AUDI,A4 B8,,2.0TFSI,211,265,48,66,5400,360,439,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1304 293,https://dataracing.com.ar/cars/audi-a5-b8-2-0tfsi-211-hp/
127,AUTO / UTIL,AUDI,A4 B8,,2.0TDI CR,140,180,40,42,4100,321,380,1,1,1,0,1,0,1,0,0,1,0,TD2,19900,19900,11900,2975,17900,8950,5970,5970,3570,892.5,5370,2685,399,1165 269,https://dataracing.com.ar/cars/vw-vento-mk6-2-0tdi-cr-140-hp/
113,AUTO / UTIL,AUDI,A4 B8,,20TDI CR,170,210,40,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,TD3,24900,24900,14900,3725,22900,11450,7470,7470,4470,1117.5,6870,3435,501,1221 146,https://dataracing.com.ar/cars/audi-q5-2-0tdi-cr-140-hp/
139,AUTO / UTIL,AUDI,A4 B9,,20TSI GEN3,252,310,58,69,4400,370,474,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,473,830,https://dataracing.com.ar/cars/audi-a4-b8-2-0tsi-gen-3-252-hp/
103C,AUTO / UTIL,AUDI,A4 B6,,1.9TDI,115,154,39,43,3200,285,350,1,1,1,0,1,0,1,0,1,0,0,TD1,16900,16900,10900,2725,15900,7950,5070,5070,3270,817.5,4770,2385,10,x,https://dataracing.com.ar/cars/vw-sharan-1-9tdi-115-hp/
106,AUTO / UTIL,AUDI,A4 B7,,2.0TDI PD,140,170,30,32,3600,320,410,1,1,1,0,1,0,1,0,1,1,0,TD1,16900,16900,10900,2725,15900,7950,5070,5070,3270,817.5,4770,2385,62,2,https://dataracing.com.ar/cars/vw-vento-5-2-0tdi-pd-140-hp/
104,AUTO / UTIL,AUDI,A4 B7,,2.0TFSI,200,250,50,53,4300,280,377,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,93,64,https://dataracing.com.ar/cars/vw-vento-5-2-0tfsi-200-hp/
112,AUTO / UTIL,AUDI,A5 B8,,2.0TFSI,211,265,48,66,5400,360,439,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1304 293,https://dataracing.com.ar/cars/audi-a5-b8-2-0tfsi-211-hp/
114,AUTO / UTIL,AUDI,A5 B8,,3.2 V6,250,270,20,20,6200,318,340,1,1,1,1,1,1,0,0,1,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,120,52,https://dataracing.com.ar/cars/audi-tt-mk-2-3-2-v6-250-hp/
